분류번호,사무명,사무개요,신청유형,단순/복합,수수료,수수료내역,보관기간,등록일자,적용일자,폐지일자,소관부처,담당부서
1740000-0001,사망자 재산조회 통합처리 신청,"사망신고 처리 시 또는 그 이후에 상속의 권한 있는자가 시군구, 읍면동에 신청하는 사망자의 재산조회 및 지방세 체납액, 미납액, 국민연금 가입여부, 자동차 소유여부, 토지 소유내역의 조회 신청하는 사무입니다.",확인,단순민원,수수료 없음,수수료 없음,1년,2016.08.16,2016.08.17,,행정자치부,공공서비스혁신과
1710000-0011,정보통신공사업 합병에 관한 신고 접수,정보통신공사업 합병신고 시 접수되는 증빙서류 등을 확인,신고,단순민원,수수료 없음,수수료 없음,10년,2015.11.17,2015.11.30,,미래창조과학부,통신정책기획과
1710000-0010,정보통신공사업 양도에 관한 신고 접수,정보통신공사업 양도신고 시 제출해야하는 신청 서류를 확인,신고,단순민원,수수료 없음,수수료 없음,10년,2015.11.17,2015.11.30,,미래창조과학부,통신정책기획과
1710000-0009,정보통신공사업 등록 신청 접수,정보통신공사업 신규 등록 관련 등록기준에 적합한 지 여부와 관련 증빙서류 등을 확인,등록,단순민원,수수료 없음,수수료 없음,10년,2015.11.17,2015.11.30,,미래창조과학부,통신정책기획과
1710000-0008,연구실 안전점검 또는 정밀안전진단 대행기관의 변경등록,안전점검 및 정밀안전진단 대행기관은 등록한 사항을 변경하고자 할 경우 변경을 증명하는 서류와 함께 변경등록을 신청하여야 함,등록,단순민원,수수료 없음,수수료 없음,10년,2015.08.25,2015.09.30,,미래창조과학부,연구환경안전팀
1710000-0007,연구실 안전점검 또는 정밀안전진단 대행기관의 등록,연구실 안전점검 및 정밀안전진단을 대행하려는 자는 등록신청서에 기술인력 보유 현황 및 장비명세서를 첨부하여 제출,등록,단순민원,수수료 없음,수수료 없음,10년,2015.09.30,2015.10.01,,미래창조과학부,연구환경안전팀
1710000-0006,고출력·누설 전자파 안전성 평가 신청,고출력 전자파로 인한 피해와 누설 전자파에 의한 정보유출을 방지하기 위하여 구축된 방호차폐시설 또는 장비보호시설의 안전성 평가,기타,단순민원,사례별 수수료,신청 대상 시설의 측정지점 및 도전성 선로 개수에 따라 수수료 상이,10년,2014.12.05,2015.01.09,,미래창조과학부,전파환경안전과
1710000-0005,정보보호 최고책임자 지정 신고,정보통신망 이용촉진 및 정보보호 등에 관한 법률 제45조의3 및 같은법 시행령 제36조의 7에 따라 정보보호 최고책임자 지정신고서 제출,신고,단순민원,수수료 없음,수수료 없음,10년,2014.12.30,2015.01.09,,미래창조과학부,정보보호정책과
1710000-0003,방송통신기자재 등 시험기관 심사원 등록,"「방송통신기자재등 시험기관의 지정 및 관리에 관한 고시」 제6조에 따라 시험기관 심사업무(이하 ""심사""라 한다)에 참여하는 심사원의 등록 업무",등록,단순민원,수수료 없음,수수료 없음,10년,2014.08.05,2014.08.06,,미래창조과학부,정보통신적합성평가과
1710000-0002,외국인 고용추천,「출입국관리법 시행령」 제7조제3항에 따라 방송출연 등 취업을 위한 목적으로 사증발급허가를 받고자 하는 외국인에 대한 추천,추천,단순민원,수수료 없음,수수료 없음,10년,2015.11.27,2015.11.30,,미래창조과학부,방송산업정책과
1710000-0001,미래창조과학부 후원명칭 승인,기관 또는 단체가 주최하는 행사에 미래창조과학부의 명칭 또는 로고를 사용신청의 승인업무,승인,단순민원,수수료 없음,수수료 없음,10년,2013.11.25,2013.12.27,,미래창조과학부,운영지원과
1690000-0031,군용 총포 운반 허가,"군용총포,도검,화약류 등에 대하여 운반기간과 운반품목, 운반구간 등에 대하여 허가를 받기 위해 방위사업청자에게 신청하는 민원입니다.",허가,단순민원,수수료 없음,수수료 없음,3년,2015.07.03,2015.07.31,,방위사업청,방산지원과
1690000-0030,국내조달 납품실적 증명서 발급,해당물품 납품 실적을 증명하기 위한 발급사무입니다.,증명,단순민원,수수료 없음,수수료 없음,5년,2015.03.31,2015.07.07,,방위사업청,지출심사팀
1690000-0028,"국외소재상사(제조업체, 공급업체) 등록",방위사업청 국외조달 입찰 및 계약에 참가하기 위한 국외소재상사의 등록 신청에 대한 민원입니다.,등록,단순민원,수수료 없음,수수료 없음,3년,2014.04.03,2014.04.30,,방위사업청,고객지원센터
1690000-0026,국내·국외 조달원 등록증 발급,방위사업청에 등록된 국내·국외 조달원 등록증 발급 신청에 대한 민원입니다.,등록,단순민원,수수료 없음,수수료 없음,3년,2014.04.03,2014.04.04,,방위사업청,고객지원센터
1690000-0024,보증기관지정 신청,방산업체 재정부담 경감과 이용 편의 제고에 유용한 보증기관 지정을 받고자 하는 자가 관련규정에 의거 방위사업청장에게 신청하는 민원입니다.,지정,단순민원,수수료 없음,수수료 없음,3년,2009.09.23,2009.04.04,,방위사업청,방산정책과
1690000-0022,"국내소재상사(공급업체, 국외업체의 국내지사, 군수품 무역업체) 등록",방위사업청 국외조달 입찰/계약에 참가하기 위한 국내소재상사 등록 신청에 대한 민원입니다.,등록,단순민원,수수료 없음,수수료 없음,3년,2014.04.03,2014.04.30,,방위사업청,고객지원센터
1690000-0021,주요방산물자(국방과학기술) 국제입찰 참가승인,주요방산물자 및 국방과학기술의 수출을 위해 국제입찰을 참가하고자 하는 경우에는 방위사업청장(품목통제담당관)의 국제입찰승인을 얻어야 하는 민원입니다.,허가,단순민원,수수료 없음,수수료 없음,5년,2014.03.14,2014.04.04,,방위사업청,품목심사담당관
1690000-0020,계약전 생산 승인 및 품질 확인,"방위사업청장은 방산물자의 생산계획 물량을 매년 해당 방산업체에 통보하는데, 방산업체는 통보된 생산 계획물량중 당해연도 물량을 당해연도 조달계약 전에 생산하고자 하는 경우에 방위사업청장의 승인을 얻어야 민원입니다.",승인,단순민원,수수료 없음,수수료 없음,3년,2013.03.28,2013.03.29,,방위사업청,획득정책과
1690000-0019,국내업체 품목등록,"국내,외 경쟁입찰에 참여하고자 하는 자의 업체등록(품목등록/ 추가) 및 입찰참가자격 확인/계약을 위해 제출하는 민원입니다.",등록,단순민원,수수료 없음,수수료 없음,3년,2016.08.18,2016.08.19,,방위사업청,고객지원센터
1690000-0018,국유재산 사용허가 추천(방산업체·전문연구기관),방산업체 또는 연구기관이 행정재산등을 사용하거나 대부·양여 받고자 할 때에는 방위사업청장의 추천을 받아 당해 재산의 관리청에 신청하는 민원입니다.,추천,단순민원,수수료 없음,수수료 없음,3년,2009.09.23,2009.09.24,,방위사업청,방산정책과
1690000-0017,방산업체 재산처분승인,방산업체·연구기관이 보조금에 의하여 취득하거나 그 효용이 증가된 재산을 처분하고자 할 경우 그 승인을 얻기 위해 방위사업청장에게 신청하는 민원입니다.,승인,단순민원,수수료 없음,수수료 없음,3년,2010.11.16,2010.11.24,,방위사업청,방산정책과
1690000-0016,군용총포·도검·화약류 수입 허가,"군용으로 사용하는 총포, 도검 및 화약류 등의 수입허가를 받으려는 자가 방위사업청장에게 신청하는 민원입니다.",허가,단순민원,수수료 없음,수수료 없음,5년,2014.04.01,2014.04.02,,방위사업청,품목심사담당관
1690000-0015,방산물자지정,군용물자에 대하여 방산물자 지정을 받고자하는 자가 관련규정에 의거 방위사업청장에게 신청하는 민원입니다.,지정,단순민원,수수료 없음,수수료 없음,3년,2014.03.17,2014.04.30,,방위사업청,방산정책과
1690000-0014,전문연구기관위촉,"방산물자의 연구·개발·시험·측정, 방산물자의 시험 등을 위해 방위사업청의 위촉을 받고자 하는 기관이 제반서류를 방위사업청장에게 제출하는 민원입니다.",지정,단순민원,수수료 없음,수수료 없음,3년,2012.02.23,2012.02.24,,방위사업청,정책조정담당관
1690000-0013,방산물자의 생산·매매계약 체결승인,"군용총포, 도검, 화약류 등 방산물자의 생산, 매매계약 체결을 위해 승인을 받고자 방위사업청장에게 신청하는 민원입니다.",승인,단순민원,수수료 없음,수수료 없음,3년,2012.04.26,2013.04.30,,방위사업청,방산지원과
1690000-0012,군용총포·도검·화약류 제조업(제조품목변경)허가,"군용총포, 도검, 화약류 등을 제조하려는 자, 제조품목을 추가하려고 하는 자, 제조시설을 신축, 증축하려고 하는 자 또는 그 시설을 사용하려고 하는자가 그 제조에 대한 사항을 승인받고자 방위사업청장에게 신청하는 민원입니다.",허가,단순민원,수수료 없음,수수료 없음,3년,2013.03.28,2013.04.30,,방위사업청,방산지원과
1690000-0010,군용총포·도검·화약류 제조시설 등의 신축(변경)허가,군용총포·도검·화약류의 제조업 허가를 받은자 또는 군용총포등을 연구·개발하는 연구기관의 장이 그 관련시설을 신축 또는 변경할 경우 그에 대한 사항을 허가받고자 방위사업청장에게 신청하는 민원입니다.,허가,단순민원,수수료 없음,수수료 없음,3년,2013.03.28,2013.03.29,,방위사업청,방산지원과
1690000-0009,군용총포소지허가,군용총포 등을 소지하려는 자가 그 소지에 대한 사항을 허가 받기 위해 방위사업청장에게 신청하는 민원입니다.,허가,단순민원,수수료 없음,수수료 없음,3년,2013.03.28,2013.04.30,,방위사업청,방산지원과
1690000-0008,군용총포·도검·화약류 제조시설 등의 완성검사,제조시설등의 신축·변경을 완료한 제조업체 또는 연구기관의 장이 당해 제조시설의 신축·변경공사를 완료한 날부터 20일 이내에 완성검사를 받고자 방위사업청장에게 신청하는 민원입니다.,검사,단순민원,수수료 없음,수수료 없음,3년,2010.03.24,2010.03.25,,방위사업청,방산정책과
1690000-0007,군용화약류제조·관리보안책임자 선임(해임·갱신) 승인,군용화약류 제조·관리보안책임자 선임·해임·갱신 승인을 위하여 방위사업청장에게 신청하는 민원입니다.,승인,단순민원,수수료 없음,수수료 없음,3년,2013.03.28,2013.04.30,,방위사업청,방산지원과
1690000-0006,주요방산물자(국방과학기술) 수출허가,주요방산물자 및 국방과학기술을 국외로 수출하거나 그 거래를 중개하고자 하는자가 방위사업청장에게 신청하는 민원입니다.,허가,단순민원,수수료 없음,수수료 없음,3년,2014.04.02,2013.04.30,,방위사업청,품목심사담당관
1690000-0005,주요방산물자견본 수출허가,주요방산물자의 견본을 수출하고자 하는 자가 그 허가를 받기 위하여 방위사업청장에게 신청하는 민원입니다.,허가,단순민원,수수료 없음,수수료 없음,3년,2014.04.29,2014.04.30,,방위사업청,품목심사담당관
1690000-0004,주요방산물자(국방과학기술) 수출 예비승인,주요방산물자 및 국방과학기술의 수출허가를 받기 전에 수출상담을 하고자 하는 자가 주요방산물자수출예비승인을 받고자 방위사업청장에게 신청하는 민원입니다.,승인,단순민원,수수료 없음,수수료 없음,3년,2014.04.29,2014.04.30,,방위사업청,품목심사담당관
1690000-0003,주요방산물자(국방과학기술) 수출업 또는 중개업 신고,주요방산물자 및 국방과학기술을 국외로 수출하거나 그 거래를 중계(제3국간의 중개를 포함한다) 하는 것을 업으로 하는 자가 방위사업청장에게 신고하여야 하는 민원입니다.,지정,단순민원,수수료 없음,수수료 없음,5년,2014.04.29,2014.04.03,,방위사업청,품목심사담당관
1660000-0067,방재안전대책수립대행자의 변경등록신청,방재안전대책수립대행자 등록사항 변경사유가 발생한 때에는 소방방재청장에게 변경등록 신청을 하고 소방방재청장은 변경내용을 대행자등록증에 기재하고 공고하여야 한다.,건의,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,기후변화대책과
1660000-0066,방재안전대책수립대행자의 등록신청,방재안전대책수립 업무를 수행하고자 하는 자는 소방방재청장에게 등록신청을 하고 소방방재청장은 등록요건에 적합한 경우 등록증을 교부하여야 한다.,제출,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,기후변화대책과
1660000-0065,내진보강지원신청서,지진재해대책법 제16조의 2항에 따라 민간소유 건축물의 내진보강지원을 위한 내진보강지원신청을 위한 신청사무입니다.,기타,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,지진방재과
1660000-0064,소방공사감리원 배치통보,소방공사감리업자가 감리원을 소방공사감리현장에 배치하는 경우에는 배치사항을 소방본부장 또는 소방서장에게 알려야 한다,제출,단순민원,수수료 없음,수수료 없음,5년,2014.11.24,2014.11.25,,국민안전처,소방산업과
1660000-0063,소방공사감리원 배치변경통보,소방공사감리업자가 감리원을 배치하는 경우 배치사항을 소방본부장 또는 소방서장에게 알려야 한다,제출,단순민원,수수료 없음,수수료 없음,5년,2014.11.24,2014.11.25,,국민안전처,소방산업과
1660000-0062,소방시설업 등록(변경)신고,"소방시설의 설계업, 공사업,감리업을 하고자 하는 사람이 소방시설업의 등록(변경)을 하기 위하여 신청하는 민원사무입니다.",등록,단순민원,사례별 수수료,"신규신고(전문 4만원, 일반 2만원), 변경신고(전문 2만원, 일반 1만원)",10년,2015.11.11,2016.07.29,,국민안전처,소방산업과
1660000-0060,의연금품 모집(변경)허가,자연재해로 인한 이재민구호를 위하여 의연금품을 모집하려는 자는 소방방재청장으로부터 의연금품 모집허가 또는 변경허가를 받아야 한다.,허가,단순민원,수수료 없음,수수료 없음,5년,2014.11.24,2014.11.25,,국민안전처,재난구호과
1660000-0059,소방시설업지위승계신고,소방시설업 등록시 필요한 서류,신고,단순민원,단일 수수료,20000,3년,2016.06.30,2016.07.29,,국민안전처,소방산업과
1660000-0058,안전시설등 설치(완공)신고,소방시설등설치 완공신고시 설계도서 및 평면도를 첨부하여 신고,신고,단순민원,수수료 없음,수수료 없음,3년,2014.11.24,2014.11.25,,국민안전처,소방제도과
1660000-0057,소방시설업등록증(등록수첩)재교부신청,훼손된 등록수첩 재교부,교부,단순민원,단일 수수료,10000,3년,2014.11.24,2014.11.25,,국민안전처,소방산업과
1660000-0055,화재증명 발급 신청,"화재로 인한 피해를 입었을 때 그 대상과 화재발생일시, 피해물건 등 화재관련 사실을 증명받기 위하여 신청하는 민원사무입니다.",증명,단순민원,조례별 수수료,조례로 정함.,3년,2013.03.13,2014.11.25,,국민안전처,방호조사과
1660000-0054,직장민방위대편성대상업체지정,직장 민방위대 편성 대상업체로 지정을 받고자 하는 사기업체가 신청하는 민원사무입니다.,지정,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,민방위과
1660000-0053,직장민방위대(편성·이전·명의변경·해체)신고,직장의 주소이전이나 상호변경 또는 민방위대 인원감소로 직장민방위대의 지정을 해제하고자 하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,3년,2014.11.24,2014.11.25,,국민안전처,민방위과
1660000-0052,"위험물(제조소, 저장소, 취급소) 용도폐지신고",위험물제조소 등의 허가 받은 시설을 폐지하고자 하는 자가 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,5년,2014.11.24,2014.11.25,,국민안전처,방호조사과
1660000-0050,위험물탱크안전성능시험자등록,"위험물탱크안전성능시험자로 등록하고자 하는 사람이 기술능력, 시설, 시험장비 등을 갖춘 후 이를 신청하는 민원사무입니다.",등록,단순민원,단일 수수료,수수료 없음,5년,2014.11.24,2014.11.25,,국민안전처,방호조사과
1660000-0049,위험물탱크안전성능시험자 변경신고,위험물 탱크 안전 성능 시험자로 등록 받은 사람이 그 등록 내용의 일부를 변경 신청하는 민원사무입니다.,신고,단순민원,단일 수수료,20000원,5년,2014.11.24,2014.11.25,,국민안전처,방호조사과
1660000-0048,위험물탱크안전성능시험,위험물 제조소 등의 허가를 받은 사람이 위험물 취급탱크를 제작한 후 그 탱크의 안정성능시험을 신청하는 민원사무입니다.,시험,단순민원,요율별 수수료,요율로 정함.,5년,2014.11.24,2014.11.25,,국민안전처,방호조사과
1660000-0047,위험물제조소 등 전부(부분)완공검사,위험물제조소 등 전부 및 부분완공 검사를 신청하는 민원,검사,단순민원,사례별 수수료,"제조소등 설치에따른완공검사(허가수수료의1/2), 제조소등변경에따른완공검사(허가수수료의1/4",5년,2014.11.24,2014.11.25,,국민안전처,방호조사과
1660000-0046,"위험물(제조소, 저장소, 취급소)설치자의 지위승계신고",위험물 제조소 등의 지위를 승계하기 위한 민원,신고,단순민원,단일 수수료,20000원,5년,2014.11.24,2014.11.25,,국민안전처,방호조사과
1660000-0045,위험물제조소 등 설치허가,"지정수량 이상의 위험물을 저장,취급하기 위하여 제조소 등을 설치하고자 하는 사람이 소방서장에게 위험물 허가를 신청하는 민원사무 입니다.",허가,단순민원,사례별 수수료,요율산정,5년,2014.11.24,2014.11.25,,국민안전처,방호조사과
1660000-0044,위험물제조소 등 변경허가,"위험물 제조소 등의 위치,구조,설비 및 품명등을 변경하기 위한 민원",허가,단순민원,사례별 수수료,설치허가 수수료의 1/2,5년,2014.11.24,2014.11.25,,국민안전처,방호조사과
1660000-0043,예방규정제정(변경) 제출,위험물 제조소 등의 허가를 받은 업소 중 사용하기전에 예방 규정을 정하거나 변경하였을 때 제출하는 민원사무입니다.,제출,단순민원,수수료 없음,수수료 없음,5년,2014.11.24,2014.11.25,,국민안전처,방호조사과
1660000-0042,연합민방위대조직신청,"연합민방위대를 조직하는 경우에 통？리 민방위대는 대원수가 가장 많은 통？리의 민방위대장이 읍？ 면동장에게, 직장민방위대는 당해 공업단지？구내 또는 건물을 관리하는 직장의 민？방위대장이 시장？군수？구청장에게 각각 서식의 연합민방위대조직신청서를 제출하는 민원사무입니다.",기타,단순민원,수수료 없음,수수료 없음,3년,2014.11.24,2014.11.25,,국민안전처,민방위과
1660000-0041,민방위대원 응급조치 손실보상금청구,응급조치로 인한 손실을 보상 받고자 할 때 신청하는 민원사무입니다.,기타,단순민원,수수료 없음,수수료 없음,5년,2014.11.24,2014.11.25,,국민안전처,민방위과
1660000-0040,소하천 점용·사용신고,관리청에 점용 등을 신고하는 자는 이장 또는 통장과 인근 토지의 이용자 등 점용 등의 사실을 증명할 수 있는 자의 확인서를 첨부하여 신고하는 민원사무입니다.,신고,단순민원,사례별 수수료,,10년,2011.10.24,2014.11.25,,국민안전처,재난경감과
1660000-0039,소하천 점용·사용 기간연장신청,당해 하천구역에 관하여 국가 또는 지방자치단체가 공공사업을 시행할 계획이 있거나 당해 하천점용의 목적상 특히 필요한 경우에는 점용허가기간을 단축 또는 연장할 수 있습니다. 점용허가기간을 연장하고자 하는 자가 허가기간 만료일전까지 연장신청서를 관리청에 제출하는 민원사무입니다.,허가,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,재난경감과
1660000-0038,소하천 원상회복 의무면제신청,소하천의 원상회복에 대한 무면제 신청허가를 위한 민원사무입니다.,기타,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,재난경감과
1660000-0037,비관리청 소하천공사의 준공검사,"소하천공사를 시행하는 자가 준공검사를 받고자 할 때에 준공검사신청서에 준공설계도서 및 비용정산서를 첨부하여 관리청에 제출하며, 관리청은 당해 공사가 허가내용대로 시행되었다고 인정할 때에는 준공인가증을 교부하는 민원사무입니다.",검사,단순민원,조례별 수수료,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,재난경감과
1660000-0036,소하천 공사시행(소하천점용·사용)허가,소하천 공사시행을 위하여 관리청에 점용 등을 신고하는 자는 이장 또는 통장과 인근 토지의 이용자 등 점용 등의 사실을 증명할 수 있는 자의 확인서를 첨부하여 신고하는 민원사무입니다.,허가,단순민원,사례별 수수료,,10년,2014.11.24,2014.11.25,,국민안전처,재난경감과
1660000-0035,소하천 허가의 권리·의무 승계,소하천공사의 허가로 인하여 발생한 권리.의무를 가진자의 변경시 이의 승계등을 관리청에 신고하기 위한 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,재난경감과
1660000-0034,소하천 폐천부지교환신청,"폐천부지 등을 교환 또는 양여 하고자 할 때에는 미리 계획을 수립하여야 하며, 특별한 사유가 없는 한 폐천부지 등이 발생한 날부터 5년 이내에 이를 처분하여야 합니다. 폐천부지 등을 교환 또는 양여 받고자 하는 자가 폐천부지 등교환(양여)신청서에 서류를 첨부하여 관리청에 제출하는 민원사무입니다.",기타,단순민원,조례별 수수료,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,재난경감과
1660000-0033,소방시설완공검사신청,소방시설공사업자가 착공 신고를 한 소방시설에 대하여 공사를 완료한 다음 그 시설의 완공 검사를 신청하기 위한 민원사무입니다.,검사,단순민원,수수료 없음,수수료 없음,3년,2014.11.24,2014.11.25,,국민안전처,소방산업과
1660000-0032,소방시설업합병신고,소방시설업의 합병시에 이를 신고하는 민원사무입니다.,신고,단순민원,단일 수수료,20000원,영구,2014.11.24,2014.11.25,,국민안전처,소방산업과
1660000-0029,소방시설 등 점검결과제출,특정소방대상물의 관계인이 그 소방 대상물에 설치된 소방 시설등을 종합정밀점검을 하고 그 결과를 소방관서에 제출하는 민원사무입니다.,제출,단순민원,수수료 없음,수수료없음.,3년,2014.11.24,2014.11.25,,국민안전처,소방제도과
1660000-0028,소방시설관리업등록,"특정소방대상물에 설치된 소방시설을 자체점검하거나 소방안전관리자 업무를 대행하고자하는 사람이 소정의 시설, 장비 등을 갖추고 등록증을 교부 받고자 하는 민원사무입니다.",등록,단순민원,단일 수수료,40000원,3년,2014.11.24,2014.11.25,,국민안전처,소방제도과
1660000-0027,소방시설관리업등록사항변경신고,특정소방대상물 자체점검이나 소방안전관리자 업무대행을 위한 소방시설관리업을 하는 사람이 등록내용의 일부를 변경하고자 신청하는 민원사무입니다.,신고,단순민원,단일 수수료,20000원,3년,2014.11.24,2014.11.25,,국민안전처,소방제도과
1660000-0026,소방시설공사착공(변경)신고,소방설비공사업자가 소방설비공사를 도급 받은 다음 그 시설을 착공하기 전에 소방시설공사의 착공.변경을 신고하기 위한 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,3년,2014.11.24,2014.11.25,,국민안전처,소방산업과
1660000-0025,소방공사감리자지정신고,소방시설공사업법에 의거 건축주는 건축물의 소방시설공사에 대한 감리를 위하여 소방공사 감리업자를 공사감리자로 지정하고자 할 때 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,3년,2014.11.24,2014.11.25,,국민안전처,소방산업과
1660000-0024,소방공사감리자지정변경신고,특수장소의 소방공사 감리자가 변경된 경우 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,3년,2014.11.24,2014.11.25,,국민안전처,소방산업과
1660000-0023,소방공사감리결과(통보)보고,소방시설의 공사 감리를 완료한 후 소방공사 감리결과 보고서를 제출하기 위한 민원사무입니다.,보고,단순민원,수수료 없음,수수료 없음,3년,2014.11.24,2014.11.25,,국민안전처,소방산업과
1660000-0022,민방위대원 사망(부상)자 보상금 지급신청,민방위대원으로서 동원되어 임무수행 중 또는 교육훈련통지서를 받고 교육훈련 중에 상이를 입거나 사망(상이로 인하여 사망한 경우를 포함한다)한 자의 유족이 재해보상금을 지급 받기 위해 신청하는 민원사무입니다.,청구,단순민원,수수료 없음,수수료 없음,3년,2014.11.24,2014.11.25,,국민안전처,민방위과
1660000-0021,방염처리업지위승계신고,방염처리업자가 지위승계를 하고자 하는 경우의 민원사무임,신고,단순민원,단일 수수료,20000원,3년,2014.11.24,2014.11.25,,국민안전처,소방제도과
1660000-0020,방화관리자선임신고,특수장소의 관계자가 소정의 자격이 있는 소방안전관리자를 선임하였을때 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음.,3년,2014.11.24,2014.11.25,,국민안전처,소방제도과
1660000-0018,방염처리업등록증(등록수첩)재교부신청,방염처리업자가 등록증 및 등록수첩이 헐어 못쓰게되는 경우 재발급받고자 하는경우,교부,단순민원,단일 수수료,10000원,3년,2014.11.24,2014.11.25,,국민안전처,소방제도과
